时间,今值,预测值
1979年11月1日 (十月)17:00,-52.00K, 
1979年10月1日 (九月)17:00,36.00K, 
1979年9月1日 (八月)17:00,-125.00K, 
1979年8月1日 (七月)17:00,-22.00K, 
1979年7月1日 (六月)17:00,44.00K, 
1979年6月1日 (五月)17:00,59.00K, 
1979年5月1日 (四月)17:00,-3.00K, 
1979年4月1日 (三月)17:00,44.00K, 
1979年3月1日 (二月)17:00,21.00K, 
1979年2月1日 (一月)17:00,54.00K, 
1979年1月1日 (十二月)17:00,77.00K, 
1978年12月1日 (十一月)17:00,115.00K, 
1978年11月1日 (十月)17:00,74.00K, 
1978年10月1日 (九月)17:00,62.00K, 
1978年9月1日 (八月)17:00,55.00K, 
1978年8月1日 (七月)17:00,32.00K, 
1978年7月1日 (六月)17:00,71.00K, 
1978年6月1日 (五月)17:00,76.00K, 
1978年5月1日 (四月)17:00,73.00K, 
1978年4月1日 (三月)17:00,60.00K, 
1978年3月1日 (二月)17:00,46.00K, 
1978年2月1日 (一月)17:00,62.00K, 
1978年1月1日 (十二月)17:00,112.00K, 
1977年12月1日 (十一月)17:00,63.00K, 
1977年11月1日 (十月)17:00,22.00K, 
1977年10月1日 (九月)17:00,58.00K, 
1977年9月1日 (八月)17:00,17.00K, 
1977年8月1日 (七月)17:00,67.00K, 
1977年7月1日 (六月)17:00,85.00K, 
1977年6月1日 (五月)17:00,83.00K, 
1977年5月1日 (四月)17:00,83.00K, 
1977年4月1日 (三月)17:00,98.00K, 
1977年3月1日 (二月)17:00,40.00K, 
1977年2月1日 (一月)17:00,84.00K, 
1977年1月1日 (十二月)17:00,37.00K, 
1976年12月1日 (十一月)17:00,134.00K, 
1976年11月1日 (十月)17:00,-117.00K, 
1976年10月1日 (九月)17:00,69.00K, 
1976年9月1日 (八月)17:00,72.00K, 
1976年8月1日 (七月)17:00,3.00K, 
1976年7月1日 (六月)17:00,8.00K, 
1976年6月1日 (五月)17:00,-28.00K, 
1976年5月1日 (四月)17:00,71.00K, 
1976年4月1日 (三月)17:00,86.00K, 
1976年3月1日 (二月)17:00,97.00K, 
1976年2月1日 (一月)17:00,147.00K, 
1976年1月1日 (十二月)17:00,115.00K, 
1975年12月1日 (十一月)17:00,41.00K, 
1975年11月1日 (十月)17:00,80.00K, 
1975年10月1日 (九月)17:00,80.00K, 
1975年9月1日 (八月)17:00,146.00K, 
1975年8月1日 (七月)17:00,-12.00K, 
1975年7月1日 (六月)17:00,-56.00K, 
1975年6月1日 (五月)17:00,-13.00K, 
1975年5月1日 (四月)17:00,-94.00K, 
1975年4月1日 (三月)17:00,-151.00K, 
1975年3月1日 (二月)17:00,-340.00K, 
1975年2月1日 (一月)17:00,-349.00K, 
1975年1月1日 (十二月)17:00,-384.00K, 
1974年12月1日 (十一月)17:00,-287.00K, 
1974年11月1日 (十月)17:00,-128.00K, 
1974年10月1日 (九月)17:00,-78.00K, 
1974年9月1日 (八月)17:00,-86.00K, 
1974年8月1日 (七月)17:00,-34.00K, 
1974年7月1日 (六月)17:00,2.00K, 
1974年6月1日 (五月)17:00,-14.00K, 
1974年5月1日 (四月)17:00,2.00K, 
1974年4月1日 (三月)17:00,-27.00K, 
1974年3月1日 (二月)17:00,-61.00K, 
1974年2月1日 (一月)17:00,-32.00K, 
1974年1月1日 (十二月)17:00,47.00K, 
1973年12月1日 (十一月)17:00,71.00K, 
1973年11月1日 (十月)17:00,93.00K, 
1973年10月1日 (九月)17:00,-20.00K, 
1973年9月1日 (八月)17:00,31.00K, 
1973年8月1日 (七月)17:00,-8.00K, 
1973年7月1日 (六月)17:00,42.00K, 
1973年6月1日 (五月)17:00,34.00K, 
1973年5月1日 (四月)17:00,37.00K, 
1973年4月1日 (三月)17:00,83.00K, 
1973年3月1日 (二月)17:00,134.00K, 
1973年2月1日 (一月)17:00,118.00K, 
1973年1月1日 (十二月)17:00,153.00K, 
1972年12月1日 (十一月)17:00,112.00K, 
1972年11月1日 (十月)17:00,119.00K, 
1972年10月1日 (九月)17:00,33.00K, 
1972年9月1日 (八月)17:00,185.00K, 
1972年8月1日 (七月)17:00,-85.00K, 
1972年7月1日 (六月)17:00,39.00K, 
1972年6月1日 (五月)17:00,94.00K, 
1972年5月1日 (四月)17:00,61.00K, 
1972年4月1日 (三月)17:00,86.00K, 
1972年3月1日 (二月)17:00,78.00K, 
1972年2月1日 (一月)17:00,81.00K, 
1972年1月1日 (十二月)17:00,36.00K, 
1971年12月1日 (十一月)17:00,40.00K, 
1971年11月1日 (十月)17:00,-28.00K, 
1971年10月1日 (九月)17:00,39.00K, 
1971年9月1日 (八月)17:00,-11.00K, 
1971年8月1日 (七月)17:00,-13.00K, 
1971年7月1日 (六月)17:00,-86.00K, 
1971年6月1日 (五月)17:00,76.00K, 
1971年5月1日 (四月)17:00,-5.00K, 
1971年4月1日 (三月)17:00,-62.00K, 
1971年3月1日 (二月)17:00,-64.00K, 
1971年2月1日 (一月)17:00,-29.00K, 
1971年1月1日 (十二月)17:00,285.00K, 
1970年12月1日 (十一月)17:00,-149.00K, 
1970年11月1日 (十月)17:00,-519.00K, 
1970年10月1日 (九月)17:00,-87.00K, 
1970年9月1日 (八月)17:00,-98.00K, 
1970年8月1日 (七月)17:00,-53.00K, 
1970年7月1日 (六月)17:00,-99.00K, 
1970年6月1日 (五月)17:00,-178.00K, 
1970年5月1日 (四月)17:00,-153.00K, 
1970年4月1日 (三月)17:00,-1.00K, 
1970年3月1日 (二月)17:00,-63.00K, 
1970年2月1日 (一月)17:00,-61.00K, 
1970年1月1日 (十二月)17:00,18.00K, 
