时间,今值,预测值
1986年11月1日 (十月)17:00,-0.52B, 
1986年10月1日 (九月)17:00,-0.70B, 
1986年9月1日 (八月)17:00,-0.37B, 
1986年8月1日 (七月)17:00,-0.47B, 
1986年7月1日 (六月)17:00,-0.63B, 
1986年6月1日 (五月)17:00,-0.58B, 
1986年5月1日 (四月)17:00,-0.82B, 
1986年4月1日 (三月)17:00,-0.89B, 
1986年3月1日 (二月)17:00,-0.48B, 
1986年2月1日 (一月)17:00,-0.85B, 
1986年1月1日 (十二月)17:00,-0.75B, 
1985年12月1日 (十一月)17:00,-0.68B, 
1985年11月1日 (十月)17:00,-0.62B, 
1985年10月1日 (九月)17:00,-0.78B, 
1985年9月1日 (八月)17:00,-0.63B, 
1985年8月1日 (七月)17:00,-0.54B, 
1985年7月1日 (六月)17:00,-0.53B, 
1985年6月1日 (五月)17:00,-0.39B, 
1985年5月1日 (四月)17:00,-0.41B, 
1985年4月1日 (三月)17:00,0.01B, 
1985年3月1日 (二月)17:00,-0.39B, 
1985年2月1日 (一月)17:00,-0.57B, 
1985年1月1日 (十二月)17:00,-0.51B, 
1984年12月1日 (十一月)17:00,-0.45B, 
1984年11月1日 (十月)17:00,-0.43B, 
1984年10月1日 (九月)17:00,-0.54B, 
1984年9月1日 (八月)17:00,-0.35B, 
1984年8月1日 (七月)17:00,-0.52B, 
1984年7月1日 (六月)17:00,-0.38B, 
1984年6月1日 (五月)17:00,-0.48B, 
1984年5月1日 (四月)17:00,-0.19B, 
1984年4月1日 (三月)17:00,-0.45B, 
1984年3月1日 (二月)17:00,-0.35B, 
1984年2月1日 (一月)17:00,-0.30B, 
1984年1月1日 (十二月)17:00,-0.08B, 
1983年12月1日 (十一月)17:00,-0.10B, 
1983年11月1日 (十月)17:00,-0.22B, 
1983年10月1日 (九月)17:00,-0.15B, 
1983年9月1日 (八月)17:00,-0.31B, 
1983年8月1日 (七月)17:00,-0.33B, 
1983年7月1日 (六月)17:00,-0.34B, 
1983年6月1日 (五月)17:00,-0.16B, 
1983年5月1日 (四月)17:00,-0.24B, 
1983年4月1日 (三月)17:00,-0.37B, 
1983年3月1日 (二月)17:00,-0.33B, 
1983年2月1日 (一月)17:00,-0.35B, 
1983年1月1日 (十二月)17:00,-0.25B, 
1982年12月1日 (十一月)17:00,-0.29B, 
1982年11月1日 (十月)17:00,-0.42B, 
1982年10月1日 (九月)17:00,-0.22B, 
1982年9月1日 (八月)17:00,-0.52B, 
1982年8月1日 (七月)17:00,-0.40B, 
1982年7月1日 (六月)17:00,-0.48B, 
1982年6月1日 (五月)17:00,-0.29B, 
1982年5月1日 (四月)17:00,-0.63B, 
1982年4月1日 (三月)17:00,-0.63B, 
1982年3月1日 (二月)17:00,-0.57B, 
1982年2月1日 (一月)17:00,-0.58B, 
1982年1月1日 (十二月)17:00,-0.45B, 
1981年12月1日 (十一月)17:00,-0.53B, 
1981年11月1日 (十月)17:00,-0.74B, 
1981年10月1日 (九月)17:00,-0.29B, 
1981年9月1日 (八月)17:00,-0.32B, 
1981年8月1日 (七月)17:00,-0.58B, 
1981年7月1日 (六月)17:00,-0.38B, 
1981年6月1日 (五月)17:00,-0.14B, 
1981年5月1日 (四月)17:00,-0.27B, 
1981年4月1日 (三月)17:00,-0.46B, 
1981年3月1日 (二月)17:00,-0.28B, 
1981年2月1日 (一月)17:00,0.09B, 
1981年1月1日 (十二月)17:00,-0.25B, 
1980年12月1日 (十一月)17:00,-0.08B, 
1980年11月1日 (十月)17:00,-0.29B, 
1980年10月1日 (九月)17:00,-0.26B, 
1980年9月1日 (八月)17:00,-0.29B, 
1980年8月1日 (七月)17:00,-0.16B, 
1980年7月1日 (六月)17:00,0.12B, 
1980年6月1日 (五月)17:00,-0.18B, 
1980年5月1日 (四月)17:00,0.15B, 
1980年4月1日 (三月)17:00,0.07B, 
1980年3月1日 (二月)17:00,0.15B, 
1980年2月1日 (一月)17:00,-0.09B, 
1980年1月1日 (十二月)17:00,0.07B, 
1979年12月1日 (十一月)17:00,0.14B, 
1979年11月1日 (十月)17:00,0.21B, 
1979年10月1日 (九月)17:00,0.14B, 
1979年9月1日 (八月)17:00,-0.08B, 
1979年8月1日 (七月)17:00,0.05B, 
1979年7月1日 (六月)17:00,-0.09B, 
1979年6月1日 (五月)17:00,0.03B, 
1979年5月1日 (四月)17:00,-0.05B, 
1979年4月1日 (三月)17:00,-0.07B, 
1979年3月1日 (二月)17:00,-0.04B, 
1979年2月1日 (一月)17:00,-0.03B, 
1979年1月1日 (十二月)17:00,-0.17B, 
1978年12月1日 (十一月)17:00,-0.15B, 
1978年11月1日 (十月)17:00,-0.21B, 
1978年10月1日 (九月)17:00,-0.23B, 
1978年9月1日 (八月)17:00,-0.23B, 
1978年8月1日 (七月)17:00,-0.15B, 
1978年7月1日 (六月)17:00,-0.09B, 
1978年6月1日 (五月)17:00,-0.16B, 
1978年5月1日 (四月)17:00,-0.13B, 
1978年4月1日 (三月)17:00,-0.14B, 
1978年3月1日 (二月)17:00,-0.08B, 
1978年2月1日 (一月)17:00,-0.15B, 
1978年1月1日 (十二月)17:00,0.04B, 
1977年12月1日 (十一月)17:00,0.03B, 
1977年11月1日 (十月)17:00,-0.07B, 
1977年10月1日 (九月)17:00,-0.07B, 
1977年9月1日 (八月)17:00,-0.08B, 
1977年8月1日 (七月)17:00,-0.13B, 
1977年7月1日 (六月)17:00,-0.15B, 
1977年6月1日 (五月)17:00,-0.09B, 
1977年5月1日 (四月)17:00,-0.10B, 
1977年4月1日 (三月)17:00,-0.11B, 
1977年3月1日 (二月)17:00,-0.24B, 
1977年2月1日 (一月)17:00,-0.02B, 
1977年1月1日 (十二月)17:00,-0.10B, 
1976年12月1日 (十一月)17:00,-0.02B, 
1976年11月1日 (十月)17:00,0.04B, 
1976年10月1日 (九月)17:00,0.10B, 
1976年9月1日 (八月)17:00,0.00B, 
1976年8月1日 (七月)17:00,0.04B, 
1976年7月1日 (六月)17:00,0.06B, 
1976年6月1日 (五月)17:00,-0.11B, 
1976年5月1日 (四月)17:00,0.13B, 
1976年4月1日 (三月)17:00,0.02B, 
1976年3月1日 (二月)17:00,-0.04B, 
1976年2月1日 (一月)17:00,-0.04B, 
1976年1月1日 (十二月)17:00,-0.04B, 
1975年12月1日 (十一月)17:00,-0.01B, 
1975年11月1日 (十月)17:00,0.03B, 
1975年10月1日 (九月)17:00,-0.04B, 
1975年9月1日 (八月)17:00,0.09B, 
1975年8月1日 (七月)17:00,0.07B, 
1975年7月1日 (六月)17:00,0.13B, 
1975年6月1日 (五月)17:00,0.06B, 
