时间,今值,预测值
2008年7月10日20:30,346K,397K
2008年7月3日20:30,404K,384K
2008年6月26日20:30,384K,375K
2008年6月19日20:30,381K,375K
2008年6月12日20:30,384K,370K
2008年6月5日21:30,357K,374K
2008年5月29日21:30,372K,370K
2008年5月22日21:30,365K,373K
2008年5月15日21:30,371K,370K
2008年5月8日20:30,365K,370K
2008年5月1日20:30,380K,363K
2008年4月24日20:30,342K,375K
2008年4月17日20:30,372K,375K
2008年4月10日20:30,357K,365K
2008年4月3日20:30,407K,366K
2008年3月27日20:30,366K,370K
2008年3月20日20:30,378K,360K
2008年3月13日20:30,353K,355K
2008年3月6日21:30,351K,363K
2008年2月28日21:30,373K,350K
2008年2月21日21:30,349K,345K
2008年1月1日 (十二月)17:00,349.10K, 
2007年12月1日 (十一月)17:00,339.05K, 
2007年11月1日 (十月)17:00,328.09K, 
2007年10月1日 (九月)17:00,313.25K, 
2007年9月1日 (八月)17:00,319.22K, 
2007年8月1日 (七月)17:00,313.32K, 
2007年7月1日 (六月)17:00,315.62K, 
2007年6月1日 (五月)17:00,305.96K, 
2007年5月1日 (四月)17:00,319.29K, 
2007年4月1日 (三月)17:00,307.95K, 
2007年3月1日 (二月)17:00,324.25K, 
2007年2月1日 (一月)17:00,316.30K, 
2007年1月1日 (十二月)17:00,323.43K, 
2006年12月1日 (十一月)17:00,327.05K, 
2006年11月1日 (十月)17:00,315.82K, 
2006年10月1日 (九月)17:00,316.43K, 
2006年9月1日 (八月)17:00,314.22K, 
2006年8月1日 (七月)17:00,319.43K, 
2006年7月1日 (六月)17:00,307.68K, 
2006年6月1日 (五月)17:00,329.39K, 
2006年5月1日 (四月)17:00,306.75K, 
2006年4月1日 (三月)17:00,299.39K, 
2006年3月1日 (二月)17:00,292.05K, 
2006年2月1日 (一月)17:00,295.14K, 
2006年1月1日 (十二月)17:00,315.77K, 
2005年12月1日 (十一月)17:00,317.41K, 
2005年11月1日 (十月)17:00,343.33K, 
2005年10月1日 (九月)17:00,390.77K, 
2005年9月1日 (八月)17:00,317.09K, 
2005年8月1日 (七月)17:00,323.90K, 
2005年7月1日 (六月)17:00,324.86K, 
2005年6月1日 (五月)17:00,328.00K, 
2005年5月1日 (四月)17:00,320.95K, 
2005年4月1日 (三月)17:00,332.48K, 
2005年3月1日 (二月)17:00,313.05K, 
2005年2月1日 (一月)17:00,338.67K, 
2005年1月1日 (十二月)17:00,330.39K, 
2004年12月1日 (十一月)17:00,330.05K, 
2004年11月1日 (十月)17:00,333.81K, 
2004年10月1日 (九月)17:00,337.86K, 
2004年9月1日 (八月)17:00,339.41K, 
2004年8月1日 (七月)17:00,345.32K, 
2004年7月1日 (六月)17:00,345.59K, 
2004年6月1日 (五月)17:00,340.00K, 
2004年5月1日 (四月)17:00,344.55K, 
2004年4月1日 (三月)17:00,341.09K, 
2004年3月1日 (二月)17:00,360.75K, 
2004年2月1日 (一月)17:00,360.77K, 
2004年1月1日 (十二月)17:00,357.96K, 
2003年12月1日 (十一月)17:00,363.00K, 
2003年11月1日 (十月)17:00,377.52K, 
2003年10月1日 (九月)17:00,394.64K, 
2003年9月1日 (八月)17:00,400.05K, 
2003年8月1日 (七月)17:00,408.74K, 
2003年7月1日 (六月)17:00,422.29K, 
2003年6月1日 (五月)17:00,423.45K, 
2003年5月1日 (四月)17:00,436.00K, 
2003年4月1日 (三月)17:00,424.86K, 
2003年3月1日 (二月)17:00,416.75K, 
2003年2月1日 (一月)17:00,399.09K, 
2003年1月1日 (十二月)17:00,412.32K, 
2002年12月1日 (十一月)17:00,389.76K, 
2002年11月1日 (十月)17:00,407.22K, 
2002年10月1日 (九月)17:00,409.24K, 
2002年9月1日 (八月)17:00,394.36K, 
2002年8月1日 (七月)17:00,386.26K, 
2002年7月1日 (六月)17:00,389.50K, 
2002年6月1日 (五月)17:00,402.26K, 
2002年5月1日 (四月)17:00,427.41K, 
2002年4月1日 (三月)17:00,419.86K, 
2002年3月1日 (二月)17:00,396.60K, 
2002年2月1日 (一月)17:00,408.22K, 
2002年1月1日 (十二月)17:00,404.38K, 
2001年12月1日 (十一月)17:00,452.50K, 
2001年11月1日 (十月)17:00,475.43K, 
2001年10月1日 (九月)17:00,443.25K, 
2001年9月1日 (八月)17:00,398.61K, 
2001年8月1日 (七月)17:00,398.27K, 
2001年7月1日 (六月)17:00,395.52K, 
2001年6月1日 (五月)17:00,397.09K, 
2001年5月1日 (四月)17:00,396.00K, 
2001年4月1日 (三月)17:00,387.64K, 
2001年3月1日 (二月)17:00,372.45K, 
2001年2月1日 (一月)17:00,344.70K, 
2001年1月1日 (十二月)17:00,347.52K, 
2000年12月1日 (十一月)17:00,335.23K, 
2000年11月1日 (十月)17:00,303.73K, 
2000年10月1日 (九月)17:00,300.05K, 
2000年9月1日 (八月)17:00,311.00K, 
2000年8月1日 (七月)17:00,298.86K, 
2000年7月1日 (六月)17:00,288.86K, 
2000年6月1日 (五月)17:00,283.26K, 
2000年5月1日 (四月)17:00,273.00K, 
2000年4月1日 (三月)17:00,271.87K, 
2000年3月1日 (二月)17:00,292.14K, 
2000年2月1日 (一月)17:00,290.10K, 
2000年1月1日 (十二月)17:00,279.39K, 
1999年12月1日 (十一月)17:00,282.23K, 
1999年11月1日 (十月)17:00,286.86K, 
1999年10月1日 (九月)17:00,293.00K, 
1999年9月1日 (八月)17:00,290.68K, 
1999年8月1日 (七月)17:00,299.50K, 
1999年7月1日 (六月)17:00,292.64K, 
1999年6月1日 (五月)17:00,303.00K, 
1999年5月1日 (四月)17:00,305.45K, 
1999年4月1日 (三月)17:00,303.70K, 
1999年3月1日 (二月)17:00,301.50K, 
1999年2月1日 (一月)17:00,325.29K, 
1999年1月1日 (十二月)17:00,318.17K, 
1998年12月1日 (十一月)17:00,316.48K, 
1998年11月1日 (十月)17:00,311.77K, 
1998年10月1日 (九月)17:00,303.32K, 
1998年9月1日 (八月)17:00,309.19K, 
1998年8月1日 (七月)17:00,329.17K, 
1998年7月1日 (六月)17:00,340.18K, 
1998年6月1日 (五月)17:00,312.57K, 
1998年5月1日 (四月)17:00,309.64K, 
1998年4月1日 (三月)17:00,314.73K, 
1998年3月1日 (二月)17:00,319.00K, 
1998年2月1日 (一月)17:00,322.45K, 
1998年1月1日 (十二月)17:00,313.09K, 
1997年12月1日 (十一月)17:00,315.00K, 
1997年11月1日 (十月)17:00,310.57K, 
1997年10月1日 (九月)17:00,314.86K, 
1997年9月1日 (八月)17:00,332.14K, 
1997年8月1日 (七月)17:00,319.09K, 
1997年7月1日 (六月)17:00,326.48K, 
1997年6月1日 (五月)17:00,321.32K, 
1997年5月1日 (四月)17:00,329.14K, 
1997年4月1日 (三月)17:00,319.29K, 
1997年3月1日 (二月)17:00,317.75K, 
1997年2月1日 (一月)17:00,337.00K, 
1997年1月1日 (十二月)17:00,352.91K, 
1996年12月1日 (十一月)17:00,336.86K, 
1996年11月1日 (十月)17:00,338.30K, 
1996年10月1日 (九月)17:00,342.38K, 
1996年9月1日 (八月)17:00,332.59K, 
1996年8月1日 (七月)17:00,335.57K, 
1996年7月1日 (六月)17:00,342.75K, 
1996年6月1日 (五月)17:00,344.09K, 
1996年5月1日 (四月)17:00,357.32K, 
1996年4月1日 (三月)17:00,389.90K, 
1996年3月1日 (二月)17:00,375.95K, 
1996年2月1日 (一月)17:00,374.00K, 
1996年1月1日 (十二月)17:00,363.48K, 
1995年12月1日 (十一月)17:00,376.00K, 
1995年11月1日 (十月)17:00,372.27K, 
1995年10月1日 (九月)17:00,363.33K, 
1995年9月1日 (八月)17:00,356.26K, 
1995年8月1日 (七月)17:00,374.33K, 
1995年7月1日 (六月)17:00,364.27K, 
1995年6月1日 (五月)17:00,369.17K, 
1995年5月1日 (四月)17:00,354.00K, 
1995年4月1日 (三月)17:00,339.22K, 
1995年3月1日 (二月)17:00,339.25K, 
1995年2月1日 (一月)17:00,332.64K, 
1995年1月1日 (十二月)17:00,323.09K, 
1994年12月1日 (十一月)17:00,327.45K, 
1994年11月1日 (十月)17:00,333.95K, 
1994年10月1日 (九月)17:00,329.00K, 
1994年9月1日 (八月)17:00,336.61K, 
1994年8月1日 (七月)17:00,343.76K, 
1994年7月1日 (六月)17:00,338.45K, 
1994年6月1日 (五月)17:00,357.73K, 
1994年5月1日 (四月)17:00,344.38K, 
1994年4月1日 (三月)17:00,336.30K, 
1994年3月1日 (二月)17:00,347.85K, 
1994年2月1日 (一月)17:00,363.62K, 
1994年1月1日 (十二月)17:00,325.70K, 
1993年12月1日 (十一月)17:00,340.64K, 
1993年11月1日 (十月)17:00,353.00K, 
1993年10月1日 (九月)17:00,338.36K, 
1993年9月1日 (八月)17:00,340.36K, 
1993年8月1日 (七月)17:00,353.09K, 
1993年7月1日 (六月)17:00,341.55K, 
1993年6月1日 (五月)17:00,343.71K, 
1993年5月1日 (四月)17:00,350.68K, 
1993年4月1日 (三月)17:00,352.83K, 
1993年3月1日 (二月)17:00,338.25K, 
1993年2月1日 (一月)17:00,346.48K, 
1993年1月1日 (十二月)17:00,338.87K, 
1992年12月1日 (十一月)17:00,361.67K, 
1992年11月1日 (十月)17:00,375.05K, 
1992年10月1日 (九月)17:00,414.45K, 
1992年9月1日 (八月)17:00,403.86K, 
1992年8月1日 (七月)17:00,441.57K, 
1992年7月1日 (六月)17:00,417.68K, 
1992年6月1日 (五月)17:00,414.81K, 
1992年5月1日 (四月)17:00,421.14K, 
1992年4月1日 (三月)17:00,427.91K, 
1992年3月1日 (二月)17:00,442.75K, 
1992年2月1日 (一月)17:00,439.83K, 
1992年1月1日 (十二月)17:00,454.50K, 
1991年12月1日 (十一月)17:00,445.10K, 
1991年11月1日 (十月)17:00,426.91K, 
1991年10月1日 (九月)17:00,424.48K, 
1991年9月1日 (八月)17:00,430.73K, 
1991年8月1日 (七月)17:00,420.83K, 
1991年7月1日 (六月)17:00,427.75K, 
1991年6月1日 (五月)17:00,443.39K, 
1991年5月1日 (四月)17:00,465.77K, 
1991年4月1日 (三月)17:00,500.62K, 
1991年3月1日 (二月)17:00,485.00K, 
1991年2月1日 (一月)17:00,448.35K, 
1991年1月1日 (十二月)17:00,454.05K, 
1990年12月1日 (十一月)17:00,450.00K, 
1990年11月1日 (十月)17:00,425.87K, 
1990年10月1日 (九月)17:00,394.50K, 
1990年9月1日 (八月)17:00,387.26K, 
1990年8月1日 (七月)17:00,367.18K, 
1990年7月1日 (六月)17:00,361.33K, 
1990年6月1日 (五月)17:00,357.52K, 
1990年5月1日 (四月)17:00,361.38K, 
1990年4月1日 (三月)17:00,344.41K, 
1990年3月1日 (二月)17:00,355.70K, 
1990年2月1日 (一月)17:00,361.91K, 
1990年1月1日 (十二月)17:00,357.33K, 
1989年12月1日 (十一月)17:00,338.41K, 
1989年11月1日 (十月)17:00,360.50K, 
1989年10月1日 (九月)17:00,337.33K, 
1989年9月1日 (八月)17:00,333.39K, 
1989年8月1日 (七月)17:00,339.67K, 
1989年7月1日 (六月)17:00,337.73K, 
1989年6月1日 (五月)17:00,324.57K, 
1989年5月1日 (四月)17:00,309.00K, 
1989年4月1日 (三月)17:00,321.96K, 
1989年3月1日 (二月)17:00,307.45K, 
1989年2月1日 (一月)17:00,289.59K, 
1989年1月1日 (十二月)17:00,292.55K, 
1988年12月1日 (十一月)17:00,291.77K, 
1988年11月1日 (十月)17:00,290.95K, 
1988年10月1日 (九月)17:00,301.45K, 
1988年9月1日 (八月)17:00,313.61K, 
1988年8月1日 (七月)17:00,324.76K, 
1988年7月1日 (六月)17:00,307.50K, 
