时间,今值,预测值
2005年5月1日 (四月)17:00,2.49M, 
2005年4月1日 (三月)17:00,3.59M, 
2005年3月1日 (二月)17:00,1.24M, 
2005年2月1日 (一月)17:00,0.78M, 
2005年1月1日 (十二月)17:00,-0.37M, 
2004年12月1日 (十一月)17:00,0.88M, 
2004年11月1日 (十月)17:00,3.77M, 
2004年10月1日 (九月)17:00,-2.89M, 
2004年9月1日 (八月)17:00,-2.75M, 
2004年8月1日 (七月)17:00,-1.44M, 
2004年7月1日 (六月)17:00,0.73M, 
2004年6月1日 (五月)17:00,0.69M, 
2004年5月1日 (四月)17:00,1.32M, 
2004年4月1日 (三月)17:00,3.76M, 
2004年3月1日 (二月)17:00,1.05M, 
2004年2月1日 (一月)17:00,0.44M, 
2004年1月1日 (十二月)17:00,-3.18M, 
2003年12月1日 (十一月)17:00,-1.90M, 
2003年11月1日 (十月)17:00,1.94M, 
2003年10月1日 (九月)17:00,0.58M, 
2003年9月1日 (八月)17:00,0.18M, 
2003年8月1日 (七月)17:00,-0.54M, 
2003年7月1日 (六月)17:00,-1.65M, 
2003年6月1日 (五月)17:00,0.34M, 
2003年5月1日 (四月)17:00,1.72M, 
2003年4月1日 (三月)17:00,1.52M, 
2003年3月1日 (二月)17:00,-0.18M, 
2003年2月1日 (一月)17:00,-0.90M, 
2003年1月1日 (十二月)17:00,-2.01M, 
2002年12月1日 (十一月)17:00,-0.61M, 
2002年11月1日 (十月)17:00,3.39M, 
2002年10月1日 (九月)17:00,-5.76M, 
2002年9月1日 (八月)17:00,-2.18M, 
2002年8月1日 (七月)17:00,-2.86M, 
2002年7月1日 (六月)17:00,-0.93M, 
2002年6月1日 (五月)17:00,0.35M, 
2002年5月1日 (四月)17:00,-0.40M, 
2002年4月1日 (三月)17:00,1.28M, 
2002年3月1日 (二月)17:00,0.21M, 
2002年2月1日 (一月)17:00,1.89M, 
2002年1月1日 (十二月)17:00,-0.33M, 
2001年12月1日 (十一月)17:00,0.24M, 
2001年11月1日 (十月)17:00,0.65M, 
2001年10月1日 (九月)17:00,1.24M, 
2001年9月1日 (八月)17:00,-2.18M, 
2001年8月1日 (七月)17:00,0.40M, 
2001年7月1日 (六月)17:00,-3.18M, 
2001年6月1日 (五月)17:00,1.26M, 
2001年5月1日 (四月)17:00,3.61M, 
2001年4月1日 (三月)17:00,5.63M, 
2001年3月1日 (二月)17:00,-1.51M, 
2001年2月1日 (一月)17:00,-0.92M, 
2001年1月1日 (十二月)17:00,-0.72M, 
2000年12月1日 (十一月)17:00,1.87M, 
2000年11月1日 (十月)17:00,-0.72M, 
2000年10月1日 (九月)17:00,-0.54M, 
2000年9月1日 (八月)17:00,0.99M, 
2000年8月1日 (七月)17:00,-2.23M, 
2000年7月1日 (六月)17:00,-2.06M, 
2000年6月1日 (五月)17:00,-0.28M, 
2000年5月1日 (四月)17:00,2.55M, 
2000年4月1日 (三月)17:00,1.35M, 
2000年3月1日 (二月)17:00,1.08M, 
2000年2月1日 (一月)17:00,-1.70M, 
2000年1月1日 (十二月)17:00,-1.93M, 
1999年12月1日 (十一月)17:00,-1.25M, 
1999年11月1日 (十月)17:00,0.03M, 
1999年10月1日 (九月)17:00,-2.58M, 
1999年9月1日 (八月)17:00,-2.19M, 
1999年8月1日 (七月)17:00,-1.05M, 
1999年7月1日 (六月)17:00,-0.27M, 
1999年6月1日 (五月)17:00,-1.15M, 
1999年5月1日 (四月)17:00,-1.66M, 
1999年4月1日 (三月)17:00,2.62M, 
1999年3月1日 (二月)17:00,-0.32M, 
1999年2月1日 (一月)17:00,1.89M, 
1999年1月1日 (十二月)17:00,-2.41M, 
1998年12月1日 (十一月)17:00,-0.97M, 
1998年11月1日 (十月)17:00,4.30M, 
1998年10月1日 (九月)17:00,-3.22M, 
1998年9月1日 (八月)17:00,-2.04M, 
1998年8月1日 (七月)17:00,0.37M, 
1998年7月1日 (六月)17:00,-1.14M, 
1998年6月1日 (五月)17:00,0.83M, 
1998年5月1日 (四月)17:00,3.03M, 
1998年4月1日 (三月)17:00,1.30M, 
1998年3月1日 (二月)17:00,0.74M, 
1998年2月1日 (一月)17:00,2.87M, 
1998年1月1日 (十二月)17:00,-2.90M, 
1997年12月1日 (十一月)17:00,2.68M, 
1997年11月1日 (十月)17:00,1.72M, 
1997年10月1日 (九月)17:00,-0.68M, 
1997年9月1日 (八月)17:00,-0.29M, 
1997年8月1日 (七月)17:00,-2.37M, 
1997年7月1日 (六月)17:00,-1.63M, 
1997年6月1日 (五月)17:00,1.91M, 
1997年5月1日 (四月)17:00,1.55M, 
1997年4月1日 (三月)17:00,2.52M, 
1997年3月1日 (二月)17:00,0.59M, 
1997年2月1日 (一月)17:00,1.71M, 
1997年1月1日 (十二月)17:00,-2.45M, 
1996年12月1日 (十一月)17:00,-2.42M, 
1996年11月1日 (十月)17:00,1.56M, 
1996年10月1日 (九月)17:00,-2.24M, 
1996年9月1日 (八月)17:00,0.97M, 
1996年8月1日 (七月)17:00,-1.10M, 
1996年7月1日 (六月)17:00,0.67M, 
1996年6月1日 (五月)17:00,2.44M, 
1996年5月1日 (四月)17:00,0.48M, 
1996年4月1日 (三月)17:00,-0.22M, 
1996年3月1日 (二月)17:00,-1.98M, 
1996年2月1日 (一月)17:00,1.04M, 
1996年1月1日 (十二月)17:00,-3.59M, 
